id,doi,title,journal,issue,volume,articleType,year
67994,10.1103/PhysRevA.41.1,"Pion transfer from hydrogen to deuterium in <span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msub><mrow><mi mathvariant=""normal"">H</mi></mrow><mrow><mn>2</mn></mrow></msub></mrow></math></span>+<span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msub><mrow><mi mathvariant=""normal"">D</mi></mrow><mrow><mn>2</mn></mrow></msub></mrow></math></span> gas mixtures",PRA,1,41,article,1990
67995,10.1103/PhysRevA.41.1006,Stability and instability in crystal growth. III. Reduction of the thermodiffusion equation for a paraboloidal needle crystal,PRA,2,41,article,1990
67996,10.1103/PhysRevA.41.1021,Stability and instability in crystal growth. IV. Time development of a perturbed paraboloidal needle crystal,PRA,2,41,article,1990
67997,10.1103/PhysRevA.41.1030,Treelike percolation,PRA,2,41,article,1990
67998,10.1103/PhysRevA.41.1034,Poloidal rotation velocities in the outer half of Alcator-<i>C</i> plasmas,PRA,2,41,article,1990
67999,10.1103/PhysRevA.41.1041,Effects of autoionizing resonances on density-sensitive spectral-line intensity ratios in high-temperature plasmas,PRA,2,41,article,1990
68000,10.1103/PhysRevA.41.1058,Low-preheat cryogenic implosion experiments with a shaped 0.53-<i>μ</i>m laser pulse,PRA,2,41,article,1990
68001,10.1103/PhysRevA.41.106,"Electron-impact ionization cross-section measurements for <span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msup><mrow><mi mathvariant=""normal"">U</mi></mrow><mrow><mn>1</mn><mn>0</mn><mo>+</mo></mrow></msup></mrow></math></span>, <span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msup><mrow><mi mathvariant=""normal"">U</mi></mrow><mrow><mn>1</mn><mn>3</mn><mo>+</mo></mrow></msup></mrow></math></span>, and <span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msup><mrow><mi mathvariant=""normal"">U</mi></mrow><mrow><mn>1</mn><mn>6</mn><mo>+</mo></mrow></msup></mrow></math></span>",PRA,1,41,article,1990
68002,10.1103/PhysRevA.41.1071,Ion-ion recombination in a gas discharge,PRA,2,41,article,1990
68003,10.1103/PhysRevA.41.1074,Spectroscopic determination of particle fluxes and charge-state distributions in a pulsed-diode plasma,PRA,2,41,article,1990
68004,10.1103/PhysRevA.41.1096,Electron-ion correlation potentials in the density-functional theory of H and He plasmas,PRA,2,41,article,1990
68005,10.1103/PhysRevA.41.11,Properties of a quantum system during the time interval between two measurements,PRA,1,41,article,1990
68006,10.1103/PhysRevA.41.1105,Equation of state of the one-component plasma derived from precision Monte Carlo calculations,PRA,2,41,article,1990
68007,10.1103/PhysRevA.41.1112,Self-consistent model of a direct-current glow discharge: Treatment of fast electrons,PRA,2,41,article,1990
68008,10.1103/PhysRevA.41.1126,Random iterative networks,PRA,2,41,article,1990
68016,10.1103/PhysRevA.41.116,"Production of recoil <span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msup><mrow><mi mathvariant=""normal"">Ne</mi></mrow><mrow><mi mathvariant=""normal"">i</mi><mo>+</mo></mrow></msup></mrow></math></span> ions accompanied by electron loss and capture of 1.05-MeV/amu <span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msup><mrow><mi mathvariant=""normal"">Ne</mi></mrow><mrow><mi mathvariant=""normal"">q</mi><mo>+</mo></mrow></msup></mrow></math></span> (<i>q=2</i>, 4, 6, 8, and 10) ions",PRA,1,41,article,1990
68026,10.1103/PhysRevA.41.1193,Phase-space formulation of quantum mechanics under phase-space transformations: Wigner functions of an oscillator system in crossed magnetic and electric fields,PRA,3,41,article,1990
68027,10.1103/PhysRevA.41.1199,Ordering problem in quantum mechanics: Prime quantization and a physical interpretation,PRA,3,41,article,1990
68028,10.1103/PhysRevA.41.1211,Equation-of-motion approach to the problem of damped motion in quantum mechanics,PRA,3,41,article,1990
68029,10.1103/PhysRevA.41.1218,Perturbation theory for the triple-well anharmonic oscillator,PRA,3,41,article,1990
68030,10.1103/PhysRevA.41.1225,Two-body fragmentation channels of three-body systems,PRA,3,41,article,1990
